NGA,Longform.Name,PolityID,Variable,Value.From,Value.To,Date.From,Date.To,Date.Note,Comment,PolID Ascribed,Expert Review,References
Middle Yellow River Valley,Qin Empire,cn_qin_emp,Textiles involved in trade with distant polities,present,,-256,-207,Date span is the period of overlap between the two polities.,"Discussing prestige funerary goods from China which entered Central Asia towards the end of the Warring States Period, Stark writes: 'The funeral assemblages from Pazyryk are important for hinting at yet another dynamic that started at around 300 BCE and had far-reaching implications across Central Asia: fnds of objects such as Chinese silk fragments or Chinese lacquer ware indicate the growing role of prestige goods from the northern Chinese plains for purposes of elite representation in the wider region' (2020: 83).",Y,,
Middle Yellow River Valley,Western Han Empire,cn_western_han_dyn,Textiles involved in trade with distant polities,present,,-202,-125,Date span is the period of overlap between the two polities.,"Discussing prestige funerary goods from China which entered Central Asia towards the end of the Warring States Period, Stark writes: 'The funeral assemblages from Pazyryk are important for hinting at yet another dynamic that started at around 300 BCE and had far-reaching implications across Central Asia: fnds of objects such as Chinese silk fragments or Chinese lacquer ware indicate the growing role of prestige goods from the northern Chinese plains for purposes of elite representation in the wider region' (2020: 83).",Y,,
Middle Yellow River Valley,Qin Empire,cn_qin_emp,Polities involved in long-distance trade involving Textiles,af_greco_bactrian_k,,-256,-207,Date span is the period of overlap between the two polities.,"Discussing prestige funerary goods from China which entered Central Asia towards the end of the Warring States Period, Stark writes: 'The funeral assemblages from Pazyryk are important for hinting at yet another dynamic that started at around 300 BCE and had far-reaching implications across Central Asia: fnds of objects such as Chinese silk fragments or Chinese lacquer ware indicate the growing role of prestige goods from the northern Chinese plains for purposes of elite representation in the wider region' (2020: 83).",Y,,
Middle Yellow River Valley,Western Han Empire,cn_western_han_dyn,Polities involved in long-distance trade involving Textiles,af_greco_bactrian_k,,-202,-125,Date span is the period of overlap between the two polities.,"Discussing prestige funerary goods from China which entered Central Asia towards the end of the Warring States Period, Stark writes: 'The funeral assemblages from Pazyryk are important for hinting at yet another dynamic that started at around 300 BCE and had far-reaching implications across Central Asia: fnds of objects such as Chinese silk fragments or Chinese lacquer ware indicate the growing role of prestige goods from the northern Chinese plains for purposes of elite representation in the wider region' (2020: 83).",Y,,
Crete,Hellenistic Crete,gr_crete_hellenistic,Manufactured goods involved in trade within polity,inferred present,,-323,-69,Date span is duration of polity.,"Nodarou describes finds of ceramic ware from various production sites in southeast Crete, some of which date to the Hellenistic period, with the hypothesis that these production areas involved specialists making 'south coast' fabrics (2022: 92-99). It seems reasonable to infer that pottery at these production sites was being made for trade.",Y,,
Crete,Hellenistic Crete,gr_crete_hellenistic,Agricultural goods involved in trade with distant polities,inferred present,,-323,-69,Date span is duration of polity.,"Gallimore suggests that while their number is minimal, archaeological finds of amphorae produced in Crete across diffferent locations in the Mediterranean and North Africa could indicate an export trade in Cretan honey, wax and wine during and even before Hellenistic times (2022: 124-126).",Y,,
Crete,Hellenistic Crete,gr_crete_hellenistic,Polities involved in long-distance trade involving agricultural goods,eg_ptolemaic_k_1,,-305,-217,Date span is duration of polity.,"Gallimore suggests that while their number is minimal, archaeological finds of amphorae produced in Crete across diffferent locations in the Mediterranean and North Africa could indicate an export trade in Cretan honey, wax and wine during and even before Hellenistic times (2022: 124-126).",Y,,
Crete,Hellenistic Crete,gr_crete_hellenistic,Polities involved in long-distance trade involving agricultural goods,eg_ptolemaic_k_2,,-217,-69,Date span is the period of overlap between the two polities.,"Gallimore suggests that while their number is minimal, archaeological finds of amphorae produced in Crete across diffferent locations in the Mediterranean and North Africa could indicate an export trade in Cretan honey, wax and wine during and even before Hellenistic times (2022: 124-126).",Y,,
Konya Plain,Late Cappadocia,tr_cappadocia_2,Agricultural goods involved in trade with distant polities,inferred present,,-255,-190,Date span is the period of overlap between the two polities.,"Gallimore discusses the economic connectivity of Hellenistic Crete and writes that the site of Hierapytna has revealed ceramic finds from southern Turkey, including fine ware, coarse ware, and amphorae (2022: 126).",Y,,
Konya Plain,Late Cappadocia,tr_cappadocia_2,Specialty luxury items involved in trade with distant polities,inferred present,,-255,-190,Date span is the period of overlap between the two polities.,"Gallimore discusses the economic connectivity of Hellenistic Crete and writes that the site of Hierapytna has revealed ceramic finds from southern Turkey, including fine ware, coarse ware, and amphorae (2022: 126).",Y,,
Konya Plain,Late Cappadocia,tr_cappadocia_2,Manufactured goods involved in trade with distant polities,inferred present,,-255,-190,Date span is the period of overlap between the two polities.,"Gallimore discusses the economic connectivity of Hellenistic Crete and writes that the site of Hierapytna has revealed ceramic finds from southern Turkey, including fine ware, coarse ware, and amphorae (2022: 126).",Y,,
Konya Plain,Late Cappadocia,tr_cappadocia_2,Polities involved in long-distance trade involving Specialty luxury items,gr_crete_hellenistic,,-255,-190,Date span is the period of overlap between the two polities.,"Gallimore discusses the economic connectivity of Hellenistic Crete and writes that the site of Hierapytna has revealed ceramic finds from southern Turkey, including fine ware, coarse ware, and amphorae (2022: 126).",Y,,
Konya Plain,Late Cappadocia,tr_cappadocia_2,Polities involved in long-distance trade involving agricultural goods,gr_crete_hellenistic,,-255,-190,Date span is the period of overlap between the two polities.,"Gallimore discusses the economic connectivity of Hellenistic Crete and writes that the site of Hierapytna has revealed ceramic finds from southern Turkey, including fine ware, coarse ware, and amphorae (2022: 126).",Y,,
Konya Plain,Late Cappadocia,tr_cappadocia_2,Polities involved in long-distance trade involving Manufactured goods,gr_crete_hellenistic,,-255,-190,Date span is the period of overlap between the two polities.,"Gallimore discusses the economic connectivity of Hellenistic Crete and writes that the site of Hierapytna has revealed ceramic finds from southern Turkey, including fine ware, coarse ware, and amphorae (2022: 126).",Y,,
Sogdiana,Greco-Bactrian Kingdom,af_greco_bactrian_k,Agricultural goods involved in trade within polity,present,,-256,-125,Date span is duration of polity.,"Discussing agriculture in Bactria and Gandhara during the Graeco-Bactrian and Indo-Greek Kingdoms and Kushan empire, Morris states that there was an intensification and growth of arable lands from ancient times and that these processes imply population growth and the acceleration of trade, she mentions the intesification of millet cultivation in Bactria from Hellenistic times and practices of double-cropping in the Hindu Kush highlands, which were in part a response to the need to feed the inhabitants of growing urban centers (2021: 713-714).",Y,N,
Kachi Plain,Indo-Greek Kingdom,pk_indo_greek_k ,Agricultural goods involved in trade within polity,present,,-180,-10,Date span is duration of polity.,"Discussing agriculture in Bactria and Gandhara during the Graeco-Bactrian and Indo-Greek Kingdoms and Kushan empire, Morris states that there was an intensification and growth of arable lands from ancient times and that these processes imply population growth and the acceleration of trade, she mentions the intesification of millet cultivation in Bactria from Hellenistic times and practices of double-cropping in the Hindu Kush highlands, which were in part a response to the need to feed the inhabitants of growing urban centers (2021: 713-714).",Y,N,
Kachi Plain,Kushan Empire,af_kushan_emp,Agricultural goods involved in trade within polity,present,,35,319,Date span is duration of polity.,"Discussing agriculture in Bactria and Gandhara during the Graeco-Bactrian and Indo-Greek Kingdoms and Kushan empire, Morris states that there was an intensification and growth of arable lands from ancient times and that these processes imply population growth and the acceleration of trade, she mentions the intesification of millet cultivation in Bactria from Hellenistic times and practices of double-cropping in the Hindu Kush highlands, which were in part a response to the need to feed the inhabitants of growing urban centers (2021: 713-714).",Y,N,
Sogdiana,Greco-Bactrian Kingdom,af_greco_bactrian_k,Agricultural goods involved in trade with distant polities,inferred present,,-256,-125,Date span is duration of polity.,"Discussing broad trends in pastoralism in Bactria and Gandhara during the Graeco-Bactrian and Indo-Greek Kingdoms and Kushan empire, referring to the Hellenistic era, Morris writes that 'this period also appears to see the growth of specialized horse-breeding for transregional export' (2021: 714).",Y,N,
Kachi Plain,Indo-Greek Kingdom,pk_indo_greek_k ,Agricultural goods involved in trade with distant polities,inferred present,,-180,-10,Date span is duration of polity.,"Discussing broad trends in pastoralism in Bactria and Gandhara during the Graeco-Bactrian and Indo-Greek Kingdoms and Kushan empire, referring to the Hellenistic era, Morris writes that 'this period also appears to see the growth of specialized horse-breeding for transregional export' (2021: 714).",Y,N,
Kachi Plain,Kushan Empire,af_kushan_emp,Agricultural goods involved in trade with distant polities,inferred present,,35,319,Date span is duration of polity.,"Discussing broad trends in pastoralism in Bactria and Gandhara during the Graeco-Bactrian and Indo-Greek Kingdoms and Kushan empire, referring to the Hellenistic era, Morris writes that 'this period also appears to see the growth of specialized horse-breeding for transregional export' (2021: 714).",Y,N,
Upper Egypt,Ptolemaic Kingdom I,eg_ptolemaic_k_1,Agricultural goods involved in trade with distant polities,present,,-303,-300,Dates refer to the hypothesised period of an historical event.,"Archibald, Davies and Gabrielsen write about grain exports from Cyrene (present day eastern Libya) from around 303 BCE during a grain shortage in Greece, grain was exported to many Greek cities, including some on the island of Crete (2011: 70-73).",Y,N,
Upper Egypt,Ptolemaic Kingdom I,eg_ptolemaic_k_1,Polities involved in long-distance trade involving agricultural goods,gr_crete_hellenistic,,-303,-300,Dates refer to the hypothesised period of an historical event.,"Archibald, Davies and Gabrielsen write about grain exports from Cyrene (present day eastern Libya) from around 303 BCE during a grain shortage in Greece, grain was exported to many Greek cities, including some on the island of Crete (2011: 70-73).",Y,N,
Upper Egypt,Ptolemaic Kingdom I,eg_ptolemaic_k_1,Polities involved in long-distance trade involving agricultural goods,gr_macedonian_emp,,-303,-300,Dates refer to the hypothesised period of an historical event.,"Archibald, Davies and Gabrielsen write about grain exports from Cyrene (present day eastern Libya) from around 303 BCE during a grain shortage in Greece, grain was exported to many Greek cities, including some on the island of Crete (2011: 70-73).",Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Agricultural goods involved in trade with distant polities,present,,-217,-30,Date span is duration of polity.,Thompson writes that crop production and export played a key role in the success of the Ptolemaic economy (2011: 390).,Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Agricultural goods involved in trade within polity,present,,-217,-30,Date span is duration of polity.,Thompson writes that crop production and export played a key role in the success of the Ptolemaic economy (2011: 390).,Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Textiles involved in trade within polity,present,,-217,-30,Date span is duration of polity.,"Thompson discusses the urban areas which were markets for animal products such as meat and cheese, as well as urbanised ares being centres for textile production and trade in Ptolemaic Egypt (2011: 399-400).",Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Agricultural goods involved in trade with distant polities,present,,-217,-30,Date span is duration of polity.,"Fabian and Weaverdyck discuss in broad terms the economies of Hellenistic and Roman empires, they write: 'The Western Mediterranean, North Africa and southern Spain exported olive oil in large quantities to Rome and the northern frontiers, but in the Eastern Mediterranean, the oil trade was more regional' (2021: 112).",Y,N,
Konya Plain,Seleucid Empire,ir_seleucid_emp,Agricultural goods involved in trade with distant polities,present,,-312,-63,Date span is duration of polity.,Fabian and Weaverdyck write that Laodician wine was exported to India during the Hellenistic period (2021: 112).,Y,N,
Konya Plain,Seleucid Empire,ir_seleucid_emp,Polities involved in long-distance trade involving agricultural goods,in_mauryan_emp,,-312,-187,Date span is the period of overlap between the two trading polities.,Fabian and Weaverdyck write that Laodician wine was exported to India during the Hellenistic period (2021: 112).,Y,N,
Konya Plain,Seleucid Empire,ir_seleucid_emp,Polities involved in long-distance trade involving agricultural goods,in_post_mauryan_k,,-205,-101,Date span is the period of overlap between the two trading polities.,Fabian and Weaverdyck write that Laodician wine was exported to India during the Hellenistic period (2021: 112).,Y,N,
Konya Plain,Seleucid Empire,ir_seleucid_emp,Polities involved in long-distance trade involving agricultural goods,in_satavahana_emp,,-100,-63,Date span is the period of overlap between the two trading polities.,Fabian and Weaverdyck write that Laodician wine was exported to India during the Hellenistic period (2021: 112).,Y,N,
Konya Plain,Late Cappadocia,tr_cappadocia_2,Agricultural goods involved in trade with distant polities,present,,-322,-93,Date span is duration of polity.,Fabian and Weaverdyck write that Laodician wine was exported to India during the Hellenistic period (2021: 112).,Y,N,
Konya Plain,Late Cappadocia,tr_cappadocia_2,Polities involved in long-distance trade involving agricultural goods,in_mauryan_emp,,-312,-187,Date span is the period of overlap between the two trading polities.,Fabian and Weaverdyck write that Laodician wine was exported to India during the Hellenistic period (2021: 112).,Y,N,
Konya Plain,Late Cappadocia,tr_cappadocia_2,Polities involved in long-distance trade involving agricultural goods,in_post_mauryan_k,,-205,-101,Date span is the period of overlap between the two trading polities.,Fabian and Weaverdyck write that Laodician wine was exported to India during the Hellenistic period (2021: 112).,Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Manufactured goods involved in trade within polity,inferred present,,-217,-30,Date span is duration of polity.,"Fabian and Weaverdyck describe textile production in Egypt and north Africa during the Hellenistic period, they write that salt and dyes used in the textile industry were also readily available in these regions: 'Thus, North Africa and Egypt appear to have been a center for the production of both animal (wool) and plant (linen and flax) fibers, as well as processing (e.g., natron) and dying agents. Although the production units appear to have remained quite small in general, the regional concentration of these complementary branches of textile production likely contributed to the growth of an export-driven textile production industry' (2021: 117); on the basis of this evidence it seems reasonable to infer that the materials involved in textile production were also exported, especially murex dye: 'prestigious and in-demand purple murex, harvested from sea snails and produced at scale in coastal North African sites' (2021: 117).",Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Manufactured goods involved in trade with neighboring polities,inferred present,,-217,-30,Date span is duration of polity.,"Fabian and Weaverdyck describe textile production in Egypt and north Africa during the Hellenistic period, they write that salt and dyes used in the textile industry were also readily available in these regions: 'Thus, North Africa and Egypt appear to have been a center for the production of both animal (wool) and plant (linen and flax) fibers, as well as processing (e.g., natron) and dying agents. Although the production units appear to have remained quite small in general, the regional concentration of these complementary branches of textile production likely contributed to the growth of an export-driven textile production industry' (2021: 117); on the basis of this evidence it seems reasonable to infer that the materials involved in textile production were also exported, especially murex dye: 'prestigious and in-demand purple murex, harvested from sea snails and produced at scale in coastal North African sites' (2021: 117).",Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Textiles involved in trade with neighboring polities,inferred present,,-217,-30,Date span is duration of polity.,"Fabian and Weaverdyck describe textile production in Egypt and north Africa during the Hellenistic period, they write that salt and dyes used in the textile industry were also readily available in these regions: 'Thus, North Africa and Egypt appear to have been a center for the production of both animal (wool) and plant (linen and flax) fibers, as well as processing (e.g., natron) and dying agents. Although the production units appear to have remained quite small in general, the regional concentration of these complementary branches of textile production likely contributed to the growth of an export-driven textile production industry' (2021: 117); on the basis of this evidence it seems reasonable to infer that the materials involved in textile production were also exported, especially murex dye: 'prestigious and in-demand purple murex, harvested from sea snails and produced at scale in coastal North African sites' (2021: 117).",Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Textiles involved in trade with distant polities,inferred present,,-217,-30,Date span is duration of polity.,"Fabian and Weaverdyck describe textile production in Egypt and north Africa during the Hellenistic period, they write that salt and dyes used in the textile industry were also readily available in these regions: 'Thus, North Africa and Egypt appear to have been a center for the production of both animal (wool) and plant (linen and flax) fibers, as well as processing (e.g., natron) and dying agents. Although the production units appear to have remained quite small in general, the regional concentration of these complementary branches of textile production likely contributed to the growth of an export-driven textile production industry' (2021: 117); on the basis of this evidence it seems reasonable to infer that the materials involved in textile production were also exported, especially murex dye: 'prestigious and in-demand purple murex, harvested from sea snails and produced at scale in coastal North African sites' (2021: 117).",Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Precious metals involved in trade within polity,present,,-217,-30,Date span is duration of polity.,"Fabian and Weaverdyck discuss monetisation in Ptolemaic Egypt, they mention silver supplies from the fourth century BCE onwards and the expansion of the bronze coinage system (2021: 357).",Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Manufactured goods involved in trade within polity,present,,-217,-30,Date span is duration of polity.,"Fabian and Weaverdyck discuss monetisation in Ptolemaic Egypt, they mention silver supplies from the fourth century BCE onwards and the expansion of the bronze coinage system (2021: 357).",Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Specialty luxury items involved in trade with distant polities,inferred present,,-217,-30,Date span is duration of polity.,"In their discussion of Hellenistic imperial harbours, Fabian and Weaverdyck describe Ptolemaic Egypt's investment in commercial infrastructure: 'The initial impetus for this large-scale infrastructural investment was fiscal and military: the Ptolemies needed war elephants to counter the Indian elephants of the Seleukids, and they could offset the cost by exploiting gold mines in the Eastern Desert and by selling elephant and hippo ivory' (2021: 371); we can therefore reasonably infer the long-distance trade of ivory in this period.",Y,N,
Upper Egypt,Ptolemaic Kingdom I,eg_ptolemaic_k_1,Specialty luxury items involved in trade with distant polities,present,,-305,-217,Date span is duration of polity.,"Describing glass production processes, Fabian and Weaverdyck write: 'In the late Hellenistic and Roman periods, natron was exported in tremendous quantities from Egypt, and sent to production facilities concentrated along the Syro-Palestinian coast, where specialized furnaces were used to melt together the sand and flux, producing the product known as ‘raw glass' (2021: 394-395).",Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Specialty luxury items involved in trade with distant polities,present,,-217,-30,Date span is duration of polity.,"Describing glass production processes, Fabian and Weaverdyck write: 'In the late Hellenistic and Roman periods, natron was exported in tremendous quantities from Egypt, and sent to production facilities concentrated along the Syro-Palestinian coast, where specialized furnaces were used to melt together the sand and flux, producing the product known as ‘raw glass' (2021: 394-395).",Y,N,
Upper Egypt,Roman Empire - Principate,it_roman_principate,Specialty luxury items involved in trade with distant polities,present,,-31,284,Date span is duration of polity.,"Describing glass production processes, Fabian and Weaverdyck write: 'In the late Hellenistic and Roman periods, natron was exported in tremendous quantities from Egypt, and sent to production facilities concentrated along the Syro-Palestinian coast, where specialized furnaces were used to melt together the sand and flux, producing the product known as ‘raw glass' (2021: 394-395).",Y,N,
Upper Egypt,Roman Empire - Dominate,it_roman_dominate,Specialty luxury items involved in trade with distant polities,present,,285,394,Date span is duration of polity.,"Describing glass production processes, Fabian and Weaverdyck write: 'In the late Hellenistic and Roman periods, natron was exported in tremendous quantities from Egypt, and sent to production facilities concentrated along the Syro-Palestinian coast, where specialized furnaces were used to melt together the sand and flux, producing the product known as ‘raw glass' (2021: 394-395).",Y,N,
Upper Egypt,Ptolemaic Kingdom I,eg_ptolemaic_k_1,Polities involved in long-distance trade involving Specialty luxury items,ir_seleucid_emp,,-305,-217,Date span is the period of overlap between the two trading polities.,"Describing glass production processes, Fabian and Weaverdyck write: 'In the late Hellenistic and Roman periods, natron was exported in tremendous quantities from Egypt, and sent to production facilities concentrated along the Syro-Palestinian coast, where specialized furnaces were used to melt together the sand and flux, producing the product known as ‘raw glass' (2021: 394-395).",Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Polities involved in long-distance trade involving Specialty luxury items,ir_seleucid_emp,,-217,-63,Date span is the period of overlap between the two trading polities.,"Describing glass production processes, Fabian and Weaverdyck write: 'In the late Hellenistic and Roman periods, natron was exported in tremendous quantities from Egypt, and sent to production facilities concentrated along the Syro-Palestinian coast, where specialized furnaces were used to melt together the sand and flux, producing the product known as ‘raw glass' (2021: 394-395).",Y,N,
Upper Egypt,Ptolemaic Kingdom I,eg_ptolemaic_k_1,Manufactured goods involved in trade with distant polities,inferred present,,-217,-30,Date span is duration of polity.,"Describing glass production processes, Fabian and Weaverdyck write: 'In the late Hellenistic and Roman periods, natron was exported in tremendous quantities from Egypt, and sent to production facilities concentrated along the Syro-Palestinian coast, where specialized furnaces were used to melt together the sand and flux, producing the product known as ‘raw glass' (2021: 394-395).",Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Manufactured goods involved in trade with distant polities,inferred present,,-31,284,Date span is duration of polity.,"Describing glass production processes, Fabian and Weaverdyck write: 'In the late Hellenistic and Roman periods, natron was exported in tremendous quantities from Egypt, and sent to production facilities concentrated along the Syro-Palestinian coast, where specialized furnaces were used to melt together the sand and flux, producing the product known as ‘raw glass' (2021: 394-395).",Y,N,
Upper Egypt,Ptolemaic Kingdom I,eg_ptolemaic_k_1,Polities involved in long-distance trade involving Manufactured goods,ir_seleucid_emp,,-305,-217,Date span is the period of overlap between the two trading polities.,"Describing glass production processes, Fabian and Weaverdyck write: 'In the late Hellenistic and Roman periods, natron was exported in tremendous quantities from Egypt, and sent to production facilities concentrated along the Syro-Palestinian coast, where specialized furnaces were used to melt together the sand and flux, producing the product known as ‘raw glass' (2021: 394-395).",Y,N,
Upper Egypt,Ptolemaic Kingdom II,eg_ptolemaic_k_2,Polities involved in long-distance trade involving Manufactured goods,ir_seleucid_emp,,-217,-63,Date span is the period of overlap between the two trading polities.,"Describing glass production processes, Fabian and Weaverdyck write: 'In the late Hellenistic and Roman periods, natron was exported in tremendous quantities from Egypt, and sent to production facilities concentrated along the Syro-Palestinian coast, where specialized furnaces were used to melt together the sand and flux, producing the product known as ‘raw glass' (2021: 394-395).",Y,N,
Susiana,Seleucid Empire,ir_seleucid_emp,Precious metals involved in trade within polity,inferred present,,-312,-63,Date span is duration of polity.,"Aperghis discusses the mining of precious metals in the Seleucid empire, and while the contemporary evidence is scant, the existence of minted currency indicates that mining and circulation of silver did occur: 'There were probably important silver mines in Baktria and Sogdiane, but the evidence comes from the seventh century ad and later. However, it is difficult to imagine that the important Seleukid mints at Baktra and Aï Khanoum and those of the Graeco-Baktrian kingdom produced their fine and extensive silver coinages without a local source of precious metal. Silver mines are mentioned by Strabo in Karmania (15.2.14), but there were deposits elsewhere in Iran in antiquity, although whether any were mined in the Seleukid period is unknown' (2004: 64-65).",Y,N,https://www.zotero.org/groups/1051264/seshat_databank/search/Aperghis/titleCreatorYear/items/A64SFVW5/item-list
Konya Plain,Seleucid Empire,ir_seleucid_emp,Precious metals involved in trade within polity,inferred present,,-312,-63,Date span is duration of polity.,"Aperghis discusses the mining of precious metals in the Seleucid empire, and while the contemporary evidence is scant, the existence of minted currency indicates that mining and circulation of silver did occur: 'There were probably important silver mines in Baktria and Sogdiane, but the evidence comes from the seventh century ad and later. However, it is difficult to imagine that the important Seleukid mints at Baktra and Aï Khanoum and those of the Graeco-Baktrian kingdom produced their fine and extensive silver coinages without a local source of precious metal. Silver mines are mentioned by Strabo in Karmania (15.2.14), but there were deposits elsewhere in Iran in antiquity, although whether any were mined in the Seleukid period is unknown' (2004: 64-65).",Y,N,https://www.zotero.org/groups/1051264/seshat_databank/search/Aperghis/titleCreatorYear/items/A64SFVW5/item-list
Galilee,Seleucid Empire,ir_seleucid_emp,Manufactured goods involved in trade within polity,present,,-312,-63,Date span is duration of polity.,"Aperghis describes the vast salt reserves of Mesopotamia and also writes that: 'Palmyra, towards the end of the Seleukid period, began building its commercial prosperity on a trade in salt' (2004: 67).",Y,N,https://www.zotero.org/groups/1051264/seshat_databank/search/Aperghis/titleCreatorYear/items/A64SFVW5/item-list
