year_from|year_to|predecessor|successor|polity_new_ID|polity_old_ID|polity_long_form_name|conflict_name|contested|overturn|predecessor_assassination|intra_elite|military_revolt|popular_uprising|separatist_rebellion|external_invasion|external_interference
-2375|-2345|Unis|Teti|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|P|SU|SU|SU|SU|SU|SU|A|SU
-2345|-2323|Teti|Userkara|eg_old_k_2|EgOldK2|Egypt - Late Old Kingdom|None|IP|IP|SU|IP|SU|SU|SU|A|SU
-2334|-2279|Sargon|Rimush|iq_akkad_emp|IqAkkad|Akkadian Empire|None|P|A|A|A|A|A|P|A|A
-2323|-2321|Userkara|Pepi I / Meryre|eg_old_k_2|EgOldK2|Egypt - Late Old Kingdom|None|IP|IP|SU|IP|SU|SU|SU|A|SU
-2321|-2287|Pepi I / Meryre|Merenre / Nemtyemsaf|eg_old_k_2|EgOldK2|Egypt - Late Old Kingdom|None|SU|A|A|A|A|A|A|A|A
-2287|-2278|Merenre / Nemtyemsaf|Pepi II / Neferkare|eg_old_k_2|EgOldK2|Egypt - Late Old Kingdom|None|IA|IA|IA|IA|IA|IA|IA|A|IA
-2279|-2270|Rimush|Manishtushu|iq_akkad_emp|IqAkkad|Akkadian Empire|None|P|P|P|P|A|A|A|A|A
-2278|-2184|Pepi II / Neferkare|Merenre II|eg_old_k_2|EgOldK2|Egypt - Late Old Kingdom|None|IP|IP|SU|IP|SU|IP|SU|A|SU
-2270|-2255|Manishtushu|Naram-Sin|iq_akkad_emp|IqAkkad|Akkadian Empire|None|P|P|P|P|A|A|A|A|A
-2254|-2218|Naram-Sin|Shar-Kali-Sharri|iq_akkad_emp|IqAkkad|Akkadian Empire|None|A|A|A|A|A|A|A|A|A
-2217|-2193|Shar-Kali-Sharri|Anarchy|iq_akkad_emp|IqAkkad|Akkadian Empire|None|P|P|A|P|P|A|P|P|A
-2193|-2190|Anarchy|Dudu|iq_akkad_emp|IqAkkad|Akkadian Empire|None|P|IP|SU|SU|P|A|P|P|SU
-2189|-2168|Dudu|Shu-turul|iq_akkad_emp|IqAkkad|Akkadian Empire|None|P|A|A|A|A|A|A|P|A
-2184|-2184|Merenre II|Tepya Mentuhotep I|eg_old_k_2|EgOldK2|Egypt - Late Old Kingdom|None|IP|SU|SU|SU|SU|SU|IP|A|SU
-2168|-2154|Shu-turul|Gutian dynasty|iq_akkad_emp|IqAkkad|Akkadian Empire|None|P|A|A|A|A|A|A|P|A
-2133|-2125|Tepya Mentuhotep I|Intef I / Sehertawy|eg_regions|EgRegns|Egypt - Period of the Regions|None|SU|SU|SU|SU|SU|SU|SU|A|SU
-2125|-2112|Intef I / Sehertawy|Intef II / Wahankh|eg_regions|EgRegns|Egypt - Period of the Regions|None|IA|IA|IA|IA|IA|IA|IA|A|IA
-2112|-2063|Intef II / Wahankh|Intef III / Nakjtnebtepnefer|eg_regions|EgRegns|Egypt - Period of the Regions|None|SU|A|A|A|A|A|A|A|A
-2063|-2055|Intef III / Nakjtnebtepnefer|Mentuhotep II / Nebhepetra|eg_regions|EgRegns|Egypt - Period of the Regions|None|IA|A|A|A|A|A|A|A|A
-2055|-2004|Mentuhotep II / Nebhepetra|Mentuhotep III / Sankhkara|eg_regions|EgRegns|Egypt - Period of the Regions|None|SU|A|A|A|A|A|A|A|A
-2004|-1992|Mentuhotep III / Sankhkara|Mentuhotep IV / Nebtawyra|eg_middle_k|EgMidKg|Egypt - Middle Kingdom|None|IA|IA|IA|IA|IA|IA|IA|A|IA
-1992|-1985|Mentuhotep IV / Nebtawyra|Amenemhat I / Sehetepibra|eg_middle_k|EgMidKg|Egypt - Middle Kingdom|None|P|P|SU|P|IA|IA|IA|A|IA
-1985|-1956|Amenemhat I / Sehetepibra|Senusret I / Kheperkara|eg_middle_k|EgMidKg|Egypt - Middle Kingdom|None|P|P|P|IP|P|IA|IA|A|IA
-1956|-1911|Senusret I / Kheperkara|Amenemhat II / Nubkaura|eg_middle_k|EgMidKg|Egypt - Middle Kingdom|None|A|A|A|A|A|A|A|A|A
-1911|-1877|Amenemhat II / Nubkaura|Senusret II / Khakheperra|eg_middle_k|EgMidKg|Egypt - Middle Kingdom|None|A|A|A|A|A|A|A|A|A
-1877|-1870|Senusret II / Khakheperra|Senusret III / Khakaura|eg_middle_k|EgMidKg|Egypt - Middle Kingdom|None|A|A|A|A|A|A|A|A|A
-1870|-1831|Senusret III / Khakaura|Amenemhat III / Nimaatra|eg_middle_k|EgMidKg|Egypt - Middle Kingdom|None|A|A|A|A|A|A|A|A|A
-1831|-1786|Amenemhat III / Nimaatra|Amenemhat IV / Maakherura|eg_middle_k|EgMidKg|Egypt - Middle Kingdom|None|A|A|A|A|A|A|A|A|A
-1786|-1777|Amenemhat IV / Maakherura|Queen Sobekneferu / Sobekkara|eg_middle_k|EgMidKg|Egypt - Middle Kingdom|None|A|IA|IA|IA|IA|IA|IA|A|IA
-1777|-1773|Queen Sobekneferu / Sobekkara|Wegaf / Khutawyra|eg_middle_k|EgMidKg|Egypt - Middle Kingdom|None|SU|IA|IA|IA|IA|IA|IA|A|IA
-1560|-1555|Taa / Senakhtenra / Seqenenra|Kamose|eg_thebes_hyksos|EgThebH|Egypt - Thebes-Hyksos Period|None|A|A|A|A|A|A|A|SU|SU
-1555|-1550|Kamose|Ahmose / Nebpehtyra|eg_thebes_hyksos|EgThebH|Egypt - Thebes-Hyksos Period|None|A|A|A|A|A|A|A|A|A
-1550|-1525|Ahmose / Nebpehtyra|Amenhotep I / Djeserkara|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|A|A|A|A|A|A|A|A|A
-1525|-1504|Amenhotep I / Djeserkara|Thutmose I / Aakheperkara|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|A|A|A|A|A|A|A|A|A
-1504|-1492|Thutmose I / Aakheperkara|Thutmose II / Aakheperenra|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|A|A|A|A|A|A|A|A|A
-1492|-1479|Thutmose II / Aakheperenra|Thutmose III / Menkheperra|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|A|A|A|A|A|A|A|A|A
-1479|-1473|Thutmose III / Menkheperra|Queen Hatshepsut / Maatkara|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|P|P|A|P|A|A|A|A|A
-1473|-1458|Queen Hatshepsut / Maatkara|Thutmose III / Menkheperra|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|IP|IP|IP|IP|A|A|A|A|A
-1458|-1425|Thutmose III / Menkheperra|Amenhotep II / Aakheperura|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|IA|A|A|A|A|A|A|A|A
-1427|-1400|Amenhotep II / Aakheperura|Thutmose IV / Menkheperura|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|Thutmose IV usurps throne|SU|IA|A|SU|SU|A|A|A|A
-1400|-1390|Thutmose IV / Menkheperura|Amenhotep III / Nebmaatra|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|A|A|A|A|A|A|A|A|A
-1390|-1352|Amenhotep III / Nebmaatra|Amenhotep IV / Akhenaten / Neferkheperurawaenra|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|SU|A|A|SU|SU|A|A|A|A
-1352|-1336|Amenhotep IV / Akhenaten / Neferkheperurawaenra|Neferneferuaten / Smenkhkara|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|SU|A|A|SU|SU|A|A|A|A
-1344|-1322|Suppiluliuma I|Arnuwanda II|tr_hatti_new_k|TrHatNK|Hatti - New Kingdom|None|A|A|A|A|A|A|A|A|A
-1338|-1336|Neferneferuaten / Smenkhkara|Tutankhamun / Nebkheperura|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|IP|IA|IA|IP|A|A|A|A|A
-1336|-1327|Tutankhamun / Nebkheperura|Ay / Kheperkheperura|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|IP|IP|IP|IP|SU|A|A|A|A
-1327|-1323|Ay / Kheperkheperura|Horemheb / Djeserkheperura|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|IP|IA|IA|IP|IP|A|A|A|A
-1323|-1295|Horemheb / Djeserkheperura|Rameses I / Menpehtyra|eg_new_k_1|EgNKThu|Egypt - New Kingdom Thutmosid Period|None|IA|A|A|A|A|A|A|A|A
-1322|-1321|Arnuwanda II|Mursili II|tr_hatti_new_k|TrHatNK|Hatti - New Kingdom|None|P|A|A|P|A|A|A|P|A
-1321|-1295|Mursili II|Muwattalli II|tr_hatti_new_k|TrHatNK|Hatti - New Kingdom|None|A|A|A|A|A|A|A|A|A
-1295|-1294|Rameses I / Menpehtyra|Sety I / Menmaatra|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|IA|IA|IA|IA|IA|A|A|A|A
-1295|-1272|Muwattalli II|Murshili III|tr_hatti_new_k|TrHatNK|Hatti - New Kingdom|None|IP|A|A|P|A|A|A|A|A
-1294|-1279|Sety I / Menmaatra|Rameses II / Usermaatra Setepenra|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|A|A|A|A|A|A|A|A|A
-1279|-1213|Rameses II / Usermaatra Setepenra|Merenptah / Baenra|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|IA|A|A|A|A|A|IA|A|A
-1272|-1267|Murshili III|Hattusili III|tr_hatti_new_k|TrHatNK|Hatti - New Kingdom|None|P|P|A|P|A|A|A|A|A
-1267|-1237|Hattusili III|Tudhaliya IV|tr_hatti_new_k|TrHatNK|Hatti - New Kingdom|None|IP|A|A|IP|A|A|A|A|A
-1237|-1209|Tudhaliya IV|Arnuwanda III|tr_hatti_new_k|TrHatNK|Hatti - New Kingdom|None|A|A|A|A|A|A|A|A|A
-1213|-1203|Merenptah / Baenra|Amenmessu / Menmira|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|Succession to Merenptah|P|A|A|P|P|SU|A|A|A
-1209|-1207|Arnuwanda III|Suppiluliuma II|tr_hatti_new_k|TrHatNK|Hatti - New Kingdom|None|A|A|A|A|A|A|A|A|A
-1203|-1200|Amenmessu / Menmira|Sety II / Userkheperura Setepenra|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|SU|DIS|SU|SU|SU|SU|IA|A|IA
-1200|-1194|Sety II / Userkheperura Setepenra|Saptah / Akehnrasetepenra|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|A|A|A|A|A|A|A|A|A
-1194|-1188|Saptah / Akehnrasetepenra|Queen Tausret / Sitrameritamun|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|SU|DIS|SU|SU|SU|SU|IA|A|IA
-1188|-1186|Queen Tausret / Sitrameritamun|Sethnakht / Userkhaura Meryamun|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|Disorder before accession of 20th Dynasty Egypt|IP|A|SU|SU|SU|SU|SU|A|IA
-1186|-1184|Sethnakht / Userkhaura Meryamun|Rameses III / Usermaatra Meryamun|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|IA|A|A|A|A|A|A|A|A
-1184|-1153|Rameses III / Usermaatra Meryamun|Rameses IV / Heqamaatra Setepenamun|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|Harem Conspiracy|IP|IP|IP|IP|SU|A|A|A|IA
-1153|-1147|Rameses IV / Heqamaatra Setepenamun|Rameses V / Usermaatra Sekheperenra|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|IA|A|A|A|A|IA|A|A|A
-1147|-1143|Rameses V / Usermaatra Sekheperenra|Rameses VI / Nebmaatra Meryamun|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|IP|DIS|SU|DIS|SU|SU|A|A|A
-1143|-1136|Rameses VI / Nebmaatra Meryamun|Rameses VII / Usermaatra Setepenra Meryamun|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|SU|A|A|SU|SU|SU|SU|A|A
-1136|-1129|Rameses VII / Usermaatra Setepenra Meryamun|Rameses VIII / Usermaatra Akhenamun|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|SU|DIS|SU|SU|SU|SU|SU|A|A
-1129|-1126|Rameses VIII / Usermaatra Akhenamun|Rameses IX / Neferkara Setepenra|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|IP|IP|IP|IP|SU|SU|SU|A|A
-1126|-1108|Rameses IX / Neferkara Setepenra|Rameses X / Khepermaatra Setepenra|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|SU|SU|SU|SU|SU|SU|SU|IA|SU
-1108|-1099|Rameses X / Khepermaatra Setepenra|Rameses XI / Menmaatra Setepenptah|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|SU|SU|SU|SU|SU|SU|SU|IA|SU
-1099|-1069|Rameses XI / Menmaatra Setepenptah|Ptolemy I Soter|eg_new_k_2|EgNKRam|Egypt - New Kingdom Ramesside Period|None|P|A|A|SU|SU|SU|SU|IA|SU
-912|-891|Adad-Nirari II|Tukulti-Ninurta II|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|IA|SU|SU|SU|SU|SU|SU|SU|SU
-891|-884|Tukulti-Ninurta II|Ashurnasirpal II|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|IA|SU|SU|SU|SU|SU|SU|SU|SU
-883|-859|Ashurnasirpal II|Shalmaneser III|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|IA|SU|SU|SU|SU|SU|SU|SU|SU
-859|-824|Shalmaneser III|Shamshi-Adad V|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|P|A|A|IP|IP|A|A|A|A
-824|-811|Shamshi-Adad V|Adad-nirari III|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|IP|IA|IA|SU|SU|SU|SU|SU|SU
-811|-783|Adad-nirari III|Shalmaneser IV|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|SU|SU|SU|SU|SU|SU|SU|SU|SU
-783|-773|Shalmaneser IV|Ashur-dan III|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|IP|SU|SU|SU|SU|SU|SU|SU|SU
-773|-755|Ashur-dan III|Ashur-nirari V|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|IP|SU|SU|SU|SU|SU|SU|SU|SU
-770|-753|Romulus and Remus|Romulus|it_roman_k|ItRomRg|Roman Kingdom|None|P|P|P|A|P|A|A|A|A
-755|-745|Ashur-nirari V|Tiglath-Pileser III|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|P|P|SU|IP|P|P|A|A|A
-753|-715|Romulus|Numa Pompilius|it_roman_k|ItRomRg|Roman Kingdom|None|A|A|A|A|A|A|A|A|A
-745|-727|Tiglath-Pileser III|Shalmaneser V|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|A|A|A|A|A|A|A|A|A
-727|-722|Shalmaneser V|Sargon II|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|P|P|IP|IP|P|A|A|A|A
-722|-705|Sargon II|Sennacherib|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|P|P|P|A|A|A|P|A|A
-715|-673|Numa Pompilius|Tullus Hostilius|it_roman_k|ItRomRg|Roman Kingdom|None|A|A|A|A|A|A|A|A|A
-705|-681|Sennacherib|Esarhaddon|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|P|P|P|P|P|A|A|A|A
-681|-669|Esarhaddon|Ashurbanipal|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|A|A|A|A|A|A|A|A|A
-673|-641|Tullus Hostilius|Ancus Marcius|it_roman_k|ItRomRg|Roman Kingdom|None|P|A|A|A|A|A|A|P|A
-669|-631|Ashurbanipal|Ashur-etil-ilani|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|DIS|DIS|SU|SU|SU|SU|SU|SU|SU
-641|-616|Ancus Marcius|Tarquinius Priscus|it_roman_k|ItRomRg|Roman Kingdom|None|A|A|A|A|A|A|A|A|A
-631|-627|Ashur-etil-ilani|Sinsharishkun|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|DIS|DIS|SU|SU|SU|SU|SU|SU|SU
-627|-626|Sinsharishkun|Sin-shumu-lishir|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|P|P|A|IA|P|A|A|A|A
-626|-626|Sin-shumu-lishir|Sinsharishkun|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|P|P|SU|SU|P|A|A|A|A
-626|-612|Sinsharishkun|Ashur-uballit II|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|P|P|IP|A|A|A|A|P|P
-626|-605|Nabopolassar|Nebuchadnezzar II|iq_neo_babylonian_emp|IqNeoBb|Neo-Babylonian Empire|None|A|A|A|A|A|A|A|A|A
-616|-579|Tarquinius Priscus|Servius Tullius|it_roman_k|ItRomRg|Roman Kingdom|None|P|A|P|P|A|A|A|A|A
-612|-609|Ashur-uballit II|end of polity|iq_neo_assyrian_emp|IqNAssr|Neo-Assyrian Empire|None|P|P|SU|IA|IA|IA|IA|P|P
-605|-562|Nebuchadnezzar II|Amel-Marduk|iq_neo_babylonian_emp|IqNeoBb|Neo-Babylonian Empire|None|IP|IA|A|IP|A|A|A|A|A
-579|-534|Servius Tullius|Tarquinius Superbus|it_roman_k|ItRomRg|Roman Kingdom|None|P|P|P|P|A|A|A|A|A
-562|-560|Amel-Marduk|Neriglissar|iq_neo_babylonian_emp|IqNeoBb|Neo-Babylonian Empire|None|P|P|P|IP|A|A|A|A|A
-560|-556|Neriglissar|Labashi-Marduk|iq_neo_babylonian_emp|IqNeoBb|Neo-Babylonian Empire|None|P|A|A|P|A|A|A|A|A
-559|-530|Cyrus II|Cambyses II|ir_achaemenid_emp|IrAchae|Achaemenid Empire|None|A|A|A|A|A|A|A|A|A
-556|-556|Labashi-Marduk|Nabonidus|iq_neo_babylonian_emp|IqNeoBb|Neo-Babylonian Empire|None|P|P|P|P|A|A|A|A|A
-556|-539|Nabonidus|Cyrus II|iq_neo_babylonian_emp|IqNeoBb|Neo-Babylonian Empire|None|P|P|SU|A|A|A|A|P|P
-529|-522|Cambyses II|Bardiya / Gaumata|ir_achaemenid_emp|IrAchae|Achaemenid Empire|Gaumata usurps throne as Bardiya; Assassination of the imposter Gaumata|IP|A|A|IP|A|A|P|A|A
-522|-522|Bardiya / Gaumata|Darius I|ir_achaemenid_emp|IrAchae|Achaemenid Empire|Rebellion of Pedubast III; Revolt in Elam; Revolt in Babylonia; Revolt in Bactria; Revolt in Persis; Revolt in Parthia; Revolt in Media; Revolt in Assyria; Revolt in Egypt; Intaphernes Incident|P|P|P|IP|P|P|P|A|A
-521|-486|Darius I|Xerxes I|ir_achaemenid_emp|IrAchae|Achaemenid Empire|Assassination of Xerxes I; Succession conflict to Xerxes I|P|A|A|P|SU|A|A|A|A
-485|-465|Xerxes I|Artaxerxes I|ir_achaemenid_emp|IrAchae|Achaemenid Empire|None|P|P|P|P|P|A|SU|A|A
-476|-469|King Yuan of Zhou (Ji Ren)|King Zhending of Zhou (Ji Jie, Chên-ting)|cn_eastern_zhou_warring_states|CnZhuWS|Eastern Zhou|None|P|A|A|A|A|A|A|A|A
-469|-441|King Zhending of Zhou (Ji Jie, Chên-ting)|King Ai of Zhou (Ji Quji)|cn_eastern_zhou_warring_states|CnZhuWS|Eastern Zhou|None|P|P|P|P|A|A|A|A|A
-464|-424|Artaxerxes I|Xerxes II|ir_achaemenid_emp|IrAchae|Achaemenid Empire|Assassination of Xerxes II|P|A|A|P|P|A|A|A|A
-441|-441|King Ai of Zhou (Ji Quji)|King Kao of Zhou (Ji Wei, K'ao)|cn_eastern_zhou_warring_states|CnZhuWS|Eastern Zhou|None|P|P|P|P|A|A|A|A|A
-440|-426|King Kao of Zhou (Ji Wei, K'ao)|King Weilie of Zhou (Ji Wu, Wei-lieh)|cn_eastern_zhou_warring_states|CnZhuWS|Eastern Zhou|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
-426|-402|King Weilie of Zhou (Ji Wu, Wei-lieh)|King An of Zhou (Ji Jiao)|cn_eastern_zhou_warring_states|CnZhuWS|Eastern Zhou|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
-424|-424|Xerxes II|Sogdianus|ir_achaemenid_emp|IrAchae|Achaemenid Empire|Assassination of Sogdianus|P|P|P|P|P|A|A|A|P
-424|-424|Sogdianus|Darius II|ir_achaemenid_emp|IrAchae|Achaemenid Empire|None|P|P|P|P|SU|A|IA|A|A
-423|-405|Darius II|Artaxerxes II|ir_achaemenid_emp|IrAchae|Achaemenid Empire|None|P|A|A|P|P|A|A|A|A
-404|-359|Artaxerxes II|Artaxerxes III|ir_achaemenid_emp|IrAchae|Achaemenid Empire|Assassination of Artaxerxes III|P|A|IA|P|A|A|A|A|A
-402|-376|King An of Zhou (Ji Jiao)|King Lie of Zhou (Ji Xi, Lieh)|cn_eastern_zhou_warring_states|CnZhuWS|Eastern Zhou|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
-376|-369|King Lie of Zhou (Ji Xi, Lieh)|King Xian of Zhou (Ji Bian, Hsien)|cn_eastern_zhou_warring_states|CnZhuWS|Eastern Zhou|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
-369|-321|King Xian of Zhou (Ji Bian, Hsien)|King Shenjing of Zhou (Ji Ding, Shên-ching)|cn_eastern_zhou_warring_states|CnZhuWS|Eastern Zhou|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
-358|-338|Artaxerxes III|Artaxerxes IV|ir_achaemenid_emp|IrAchae|Achaemenid Empire|Assassination of Artaxerxes IV|P|P|P|P|SU|A|A|A|A
-337|-336|Artaxerxes IV|Darius III|ir_achaemenid_emp|IrAchae|Achaemenid Empire|None|P|P|P|P|A|A|A|A|A
-336|-323|Alexander III|Philip III|gr_macedonian_emp|GrMaced|Macedonian Empire|None|P|A|DIS|IP|A|A|A|A|A
-335|-330|Darius III|Alexander III|ir_achaemenid_emp|IrAchae|Achaemenid Empire|Battle of Gaugamela|P|P|P|SU|P|A|P|A|P
-323|-317|Philip III|Alexander IV|gr_macedonian_emp|GrMaced|Macedonian Empire|None|P|P|P|P|P|SU|A|P|A
-322|-297|Chandragupta|Bindusara|in_mauryan_emp|InMaury|Magadha - Maurya Empire|None|A|A|A|A|A|A|A|A|A
-321|-315|King Shenjing of Zhou (Ji Ding, Shên-ching)|King Nan of Zhou (Ji Yan)|cn_eastern_zhou_warring_states|CnZhuWS|Eastern Zhou|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
-317|-309|Alexander IV|Seleucus I|gr_macedonian_emp|GrMaced|Macedonian Empire|None|P|P|P|P|A|A|A|A|A
-315|-256|King Nan of Zhou (Ji Yan)|First Emperor Shih Huang Ti of Jin (Chao Chêng)|cn_eastern_zhou_warring_states|CnZhuWS|Eastern Zhou|None|A|P|P|A|A|A|A|P|A
-305|-282|Ptolemy I Soter|Ptolemy II Philadelphos|eg_ptolemaic_k_1|EgPtol1|Ptolemaic Kingdom I|None|A|A|A|A|A|A|A|A|A
-305|-281|Seleucus I|Antiochus I|ir_seleucid_emp|IrSeleu|Seleucids|None|P|P|P|A|A|A|IP|IP|P
-300|-267|Devanampiya Tissa|Uttiya|sl_anuradhapura_1|sl_anuradhapura_1|Anurādhapura I||SU|SU|IA|SU|SU|SU|SU|SU|SU
-297|-272|Bindusara|Ashoka|in_mauryan_emp|InMaury|Magadha - Maurya Empire|None|P|A|A|P|P|A|A|A|A
-282|-246|Ptolemy II Philadelphos|Ptolemy III Euergetes I|eg_ptolemaic_k_1|EgPtol1|Ptolemaic Kingdom I|None|P|A|A|A|A|A|A|A|A
-281|-261|Antiochus I|Antiochus II|ir_seleucid_emp|IrSeleu|Seleucids|None|IA|IA|IA|IA|IA|IA|IA|IA|IA
