SourcePolityLongName,SuccessorPolityLongName,SourcePolityID,SuccessorPolityID,SuccessionType,Rationale,Citation,ChainOfThought,ModelID,ModelFingerprint,ModelTimestamp
Allada,Foys,ni_allada_k,ni_dahomey_k,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Almohad Empire,Marinid Dynasty,ma_almohad_emp,ma_marinid_dyn,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Almohad Empire,Hafsid Dynasty,ma_almohad_emp,tn_hafsid_dyn,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Almohad Empire,Tlemcen,ma_almohad_emp,dz_tlemcen,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Almoravids,Almohad Empire,ma_almoravid_dyn,ma_almohad_emp,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Alodia Kingdom,Funj Sultanate,sd_alodia,et_funj_sultanate,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Amorite Babylonia,Kassite Babylonia,iq_babylonia_1,iq_babylonia_2,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Ancient Khwarazm,Achaemenid Empire,uz_khwarasm_1,ir_achaemenid_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Andronovo,,kz_andronovo,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Anglo-Saxon England I,Anglo-Saxon England II,gb_anglo_saxon_1,gb_anglo_saxon_2,territorial consolidation,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Anglo-Saxon England I,Danelaw,gb_anglo_saxon_1,gb_danelaw,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Anglo-Saxon England II,Norman England,gb_anglo_saxon_2,gb_england_norman,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Antebellum US,Us Reconstruction-Progressive,us_antebellum,us_united_states_of_america_reconstruction,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Antigonid Dynasty,Middle Roman Republic,gr_antigonid_emp,it_roman_rep_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Anurādhapura I,Anurādhapura II,sl_anuradhapura_1,sl_anuradhapura_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Anurādhapura II,Anurādhapura III,sl_anuradhapura_2,sl_anuradhapura_3,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Anurādhapura III,Anurādhapura IV,sl_anuradhapura_3,sl_anuradhapura_4,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Anurādhapura IV,Chola Empire,sl_anuradhapura_4,in_chola_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Aragon Kingdom,Crown of Aragon,es_aragon_k,es_aragon_crown,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Archaic Basin of Mexico,Initial Formative Basin of Mexico,mx_basin_of_mexico_1,mx_basin_of_mexico_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Archaic Crete,Classical Crete,gr_crete_archaic,gr_crete_classical,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Argentine Republic I,,ar_argentina_rep_1,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Armenian Kingdom,Roman Empire - Principate,am_artaxiad_dyn,it_roman_principate,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Aro,British Empire II,ni_aro,gb_british_emp_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Ashanti Empire,British Empire II,gh_ashanti_emp,gb_british_emp_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Ashikaga Shogunate,Warring States Japan,jp_ashikaga,jp_sengoku_jidai,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Astrakhan Khanate,"Grand Principality of Moscow, Rurikid Dynasty",ru_astrakhan_khanate,ru_moskva_rurik_dyn,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Asuka,Nara Kingdom,jp_asuka,jp_nara,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Atlantic Complex,Hallstatt A-B1,fr_atlantic_complex,fr_hallstatt_a_b1,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Atropatene Kingdom,Parthian Empire I,ir_atropatene_k,ir_parthian_emp_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Atropatene Kingdom,Parthian Empire II,ir_atropatene_k,iq_parthian_emp_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Australia Colonial Period,,as_australia_colonial,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Austria - Habsburg Dynasty I,Austria - Habsburg Dynasty II,at_habsburg_1,at_habsburg_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Austria - Habsburg Dynasty II,Interwar Austria,at_habsburg_2,at_interwar_austria,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Austria - Habsburg Dynasty II,Austro-Hungarian Monarchy,at_habsburg_2,at_austro_hungarian_emp,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Austro-Hungarian Monarchy,Interwar Austria,at_austro_hungarian_emp,at_interwar_austria,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Austro-Hungarian Monarchy,Czechoslovakia,at_austro_hungarian_emp,cz_czechoslovakia,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Austro-Hungarian Monarchy,Republic of Poland I,at_austro_hungarian_emp,pl_polish_rep_1,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Austro-Hungarian Monarchy,Yugoslavia,at_austro_hungarian_emp,sr_yugoslavia,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Ava Kingdom,,mm_ava_k,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Avar Khaganate,Carolingian Empire I,hu_avar_khaganate,fr_carolingian_emp_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Avar Khaganate,Bulgaria - Early,hu_avar_khaganate,bg_bulgaria_early,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Axum I,Axum II,et_aksum_emp_1,et_aksum_emp_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Axum II,Axum III,et_aksum_emp_2,et_aksum_emp_3,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Axum III,Habesha,et_aksum_emp_3,et_habesha,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Ayutthaya,,th_ayutthaya,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Ayyubid Sultanate,Egypt - Mamluk Sultanate I,eg_ayyubid_sultanate,eg_mamluk_sultanate_1,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Aztec Empire,Spanish Empire I,mx_aztec_emp,es_spanish_emp_1,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Badarian,Naqada I,eg_badarian,eg_naqada_1,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bagan,,mm_bagan,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bahmani Sultanate,Ahmadnagar Sultanate,in_bahmani_sultanate,in_ahmadnagar_sultanate,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bahmani Sultanate,Bijapur Sultanate,in_bahmani_sultanate,in_bijapur_sultanate,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Balhae Kingdom,Khitan I,kr_balhae_k,mn_khitan_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bamana kingdom,,ml_bamana_k,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Banate of Bosnia,Kingdom of Bosnia,ba_bosnia_banate,ba_bosnia_k,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Banu Ghaniya,Almohad Empire,ib_banu_ghaniya,ma_almohad_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bazi Dynasty,,iq_bazi_dyn,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Beaker Culture,Atlantic Complex,fr_beaker_eba,fr_atlantic_complex,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bengal Sultanate,Sur Empire,bd_bengal_sultanate,in_sur_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bengal Sultanate,Twelve Bhuyans,bd_bengal_sultanate,bd_twelve_bhuyans,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Benin Empire,British Empire II,ni_benin_emp,gb_british_emp_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Beylik of Candar,Ottoman Empire I,tr_candar_bey,tr_ottoman_emp_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Beylik of Karaman,Ottoman Empire I,tr_karaman_bey,tr_ottoman_emp_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bijapur Sultanate,Mughal Empire,in_bijapur_sultanate,in_mughal_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bito Dynasty,British Empire II,ug_bunyoro_k_2,gb_british_emp_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bito Dynasty,Toro,ug_bunyoro_k_2,ug_toro_k,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bolivia - Independence and Republican Era,Bolivia - Modern Era,bo_bolivia_rep,bo_bolivia_modern,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bolivia - Modern Era,,bo_bolivia_modern,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Brandenburg-Prussia,Germany - Hohenzollern Dynasty,de_hohenzollern_2,de_hohenzollern_3,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
British East India Company,British Empire II,in_east_india_co,gb_british_emp_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
British Empire I,British Empire II,gb_british_emp_1,gb_british_emp_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
British Empire II,Dominion of Canada,gb_british_emp_2,ca_canada_dominion,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
British Empire II,Republic of Ireland,gb_british_emp_2,ei_ireland_rep,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
British Empire II,Islamic Republic of Pakistan,gb_british_emp_2,pk_pakistan_islamic_rep,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
British Empire II,Sri Lanka,gb_british_emp_2,sl_sri_lanka,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
British Empire II,Republic of South Africa,gb_british_emp_2,sa_south_africa_rep,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
British Empire II,Democratic Republic of the Congo,gb_british_emp_2,cg_congo_democratic_rep,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
British Empire II,Republic of Indonesia,gb_british_emp_2,id_indonesian_rep,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
British Empire II,Republic of the Philippines,gb_british_emp_2,pi_phililippines_rep,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
British Empire II,Socialist Republic of Vietnam,gb_british_emp_2,vt_vietnam_socialist_rep,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bronze Age Cambodia,Iron Age Cambodia,kh_cambodia_ba,kh_cambodia_ia,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Brythonic Kingdoms,Anglo-Saxon England I,gb_brythonic_k,gb_anglo_saxon_1,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Brythonic Kingdoms,Anglo-Saxon England II,gb_brythonic_k,gb_anglo_saxon_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Brythonic Kingdoms,Norman England,gb_brythonic_k,gb_england_norman,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Brythonic Kingdoms,Plantagenet England,gb_brythonic_k,gb_england_plantagenet,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Brythonic Kingdoms,Kingdom of Alba,gb_brythonic_k,gb_alba_k,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Buganda I,Buganda II,ug_buganda_k_1,ug_buganda_k_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Buganda II,British Empire II,ug_buganda_k_2,gb_british_emp_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bugesera,Kingdom of Nyinginya,rw_bugesera_k,Early Niynginya,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Buhaya,,tz_buhayo_k,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bulgaria - Early,Bulgaria - Middle,bg_bulgaria_early,bg_bulgaria_medieval,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Bulgaria - Middle,Byzantine Empire II,bg_bulgaria_medieval,tr_byzantine_emp_2,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Burundi,,bu_burundi_k,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Buyid Confederation,Seljuk Sultanate,ir_buyid_confederation,ir_seljuk_sultanate,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Byzantine Empire I,Byzantine Empire II,tr_byzantine_emp_1,tr_byzantine_emp_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Byzantine Empire II,Byzantine Empire III,tr_byzantine_emp_2,tr_byzantine_emp_3,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Byzantine Empire III,Latin Empire,tr_byzantine_emp_3,tr_latin_emp,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Byzantine Empire III,Despotate of Epirus,tr_byzantine_emp_3,gr_epirus_despot,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Byzantine Empire III,Empire of Trebizond,tr_byzantine_emp_3,tr_trebizond_emp,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Byzantine Empire III,Principality of Achaea,tr_byzantine_emp_3,gr_achaea_principality,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Cahokia - Early Woodland,Cahokia - Middle Woodland,us_woodland_1,us_woodland_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Cahokia - Emergent Mississippian I,Cahokia - Emergent Mississippian II,us_emergent_mississippian_1,us_emergent_mississippian_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Cahokia - Emergent Mississippian II,Cahokia - Lohman-Stirling,us_emergent_mississippian_2,us_cahokia_1,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Cahokia - Late Woodland I,Cahokia - Late Woodland II,us_woodland_3,us_woodland_4,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Cahokia - Late Woodland II,Cahokia - Late Woodland III,us_woodland_4,us_woodland_5,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Cahokia - Late Woodland III,Cahokia - Emergent Mississippian I,us_woodland_5,us_emergent_mississippian_1,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Cahokia - Lohman-Stirling,Cahokia - Moorehead,us_cahokia_1,us_cahokia_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Cahokia - Middle Woodland,Cahokia - Late Woodland I,us_woodland_2,us_woodland_3,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Cahokia - Moorehead,Cahokia - Sand Prairie,us_cahokia_2,us_cahokia_3,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Cahokia - Sand Prairie,Oneota,us_cahokia_3,us_oneota,population replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Canaan,Yisrael,il_canaan,il_yisrael,population replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Canaan,Phoenician Empire,il_canaan,lb_phoenician_emp,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
