NGA|Polity|Section|Subsection|Variable|Value.From|Value.To|Date.From|Date.To|Fact.Type|Value.Note|Date.Note
Kachi Plain|AfDurrn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by elites|present||||simple|simple|
Kachi Plain|AfDurrn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by commoners|present||||simple|simple|
Kachi Plain|AfDurrn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in afterlife|present||||simple|simple|
Kachi Plain|AfDurrn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in this life|absent||||simple|simple|
Kachi Plain|AfDurrn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is agentic|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Deification of Rulers|Rulers are legitimated by gods|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Deification of Rulers|Rulers are gods|absent||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological reinforcement of equality|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates rulers and commoners|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates elites and commoners|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideology reinforces prosociality|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|production of public goods|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Moralizing Supernatural Powers|Moral concern is primary|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is certain|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing norms are broad|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is targeted|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement of rulers|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by elites|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by commoners|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in afterlife|present||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in this life|absent||||simple|simple|
Kachi Plain|AfGhurd|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is agentic|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Deification of Rulers|Rulers are legitimated by gods|inferred absent||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Deification of Rulers|Rulers are gods|inferred present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological reinforcement of equality|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates rulers and commoners|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates elites and commoners|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideology reinforces prosociality|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|production of public goods|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Moralizing Supernatural Powers|Moral concern is primary|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is certain|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing norms are broad|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is targeted|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement of rulers|absent||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by elites|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by commoners|absent||||simple|uncertain|
Sogdiana|AfGrBct|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by commoners|present||||simple|uncertain|
Sogdiana|AfGrBct|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in afterlife|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in this life|present||||simple|simple|
Sogdiana|AfGrBct|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is agentic|present||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Deification of Rulers|Rulers are legitimated by gods|inferred present||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Deification of Rulers|Rulers are gods|suspected unknown||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological reinforcement of equality|suspected unknown||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates rulers and commoners|suspected unknown||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates elites and commoners|inferred absent||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideology reinforces prosociality|suspected unknown||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|production of public goods|suspected unknown||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Moralizing Supernatural Powers|Moral concern is primary|present||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is certain|present||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing norms are broad|present||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is targeted|present||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement of rulers|present||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by elites|present||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by commoners|present||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in afterlife|present||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in this life|absent||||simple|simple|
Sogdiana|AfHepht|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is agentic|absent||||simple|simple|
Sogdiana|AfKidar|Institutional Variables|Limits on Power of the Chief Executive|Constraint on executive by government|present||||simple|simple|
Sogdiana|AfKidar|Institutional Variables|Limits on Power of the Chief Executive|Constraint on executive by non-government|inferred present||||simple|simple|
Sogdiana|AfKidar|Institutional Variables|Limits on Power of the Chief Executive|Impeachment|inferred absent||||simple|simple|
Sogdiana|AfKidar|Religion and Normative Ideology|Deification of Rulers|Rulers are legitimated by gods|inferred present||||simple|simple|
Sogdiana|AfKidar|Religion and Normative Ideology|Deification of Rulers|Rulers are gods|inferred present||||simple|simple|
Sogdiana|AfKidar|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological reinforcement of equality|present||||simple|uncertain|
Sogdiana|AfKidar|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological reinforcement of equality|absent||||simple|uncertain|
Sogdiana|AfKidar|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates rulers and commoners|inferred absent||||simple|simple|
Sogdiana|AfKidar|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates elites and commoners|inferred absent||||simple|simple|
Sogdiana|AfKidar|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideology reinforces prosociality|inferred present||||simple|simple|
Sogdiana|AfKidar|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|production of public goods|suspected unknown||||simple|simple|
Sogdiana|AfKushn|Institutional Variables|Limits on Power of the Chief Executive|Constraint on executive by government|inferred absent||||simple|simple|
Sogdiana|AfKushn|Institutional Variables|Limits on Power of the Chief Executive|Constraint on executive by non-government|suspected unknown||||simple|simple|
Sogdiana|AfKushn|Institutional Variables|Limits on Power of the Chief Executive|Impeachment|inferred absent||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Deification of Rulers|Rulers are legitimated by gods|present||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Deification of Rulers|Rulers are gods|present||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological reinforcement of equality|absent||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates rulers and commoners|absent||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates elites and commoners|inferred absent||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideology reinforces prosociality|inferred present||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|production of public goods|suspected unknown||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moral concern is primary|present||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is certain|present||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing norms are broad|present||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is targeted|present||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement of rulers|present||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by elites|present||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by commoners|present||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in afterlife|present||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in this life|absent||||simple|simple|
Sogdiana|AfKushn|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is agentic|absent||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Deification of Rulers|Rulers are legitimated by gods|present||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Deification of Rulers|Rulers are gods|present||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological reinforcement of equality|absent||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates rulers and commoners|absent||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates elites and commoners|inferred absent||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideology reinforces prosociality|inferred present||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|production of public goods|suspected unknown||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Moralizing Supernatural Powers|Moral concern is primary|present||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is certain|present||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing norms are broad|present||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is targeted|present||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement of rulers|absent||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by elites|present||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by commoners|absent||||simple|uncertain|
Sogdiana|AfTochr|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by commoners|present||||simple|uncertain|
Sogdiana|AfTochr|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in afterlife|present||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in this life|present||||simple|simple|
Sogdiana|AfTochr|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is agentic|present||||simple|simple|
Middle Yellow River Valley|CnEHan*|Institutional Variables|Limits on Power of the Chief Executive|Constraint on executive by government|absent||||simple|simple|
Middle Yellow River Valley|CnEHan*|Institutional Variables|Limits on Power of the Chief Executive|Constraint on executive by non-government|present||||simple|simple|
Middle Yellow River Valley|CnEHan*|Institutional Variables|Limits on Power of the Chief Executive|Impeachment|absent||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Deification of Rulers|Rulers are legitimated by gods|present||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Deification of Rulers|Rulers are gods|present||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological reinforcement of equality|absent||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates rulers and commoners|absent||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates elites and commoners|absent||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideology reinforces prosociality|present||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moral concern is primary|absent||||simple|uncertain|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moral concern is primary|present||||simple|uncertain|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is certain|absent||||simple|uncertain|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is certain|present||||simple|uncertain|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing norms are broad|present||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is targeted|absent||||simple|uncertain|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is targeted|present||||simple|uncertain|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement of rulers|present||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by elites|present||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by commoners|inferred absent||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in afterlife|absent||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in this life|present||||simple|simple|
Middle Yellow River Valley|CnEHan*|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is agentic|present||||simple|simple|
Middle Yellow River Valley|CnErJin|Institutional Variables|Limits on Power of the Chief Executive|Constraint on executive by government|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErJin|Institutional Variables|Limits on Power of the Chief Executive|Constraint on executive by non-government|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Deification of Rulers|Rulers are legitimated by gods|present||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Deification of Rulers|Rulers are gods|present||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological reinforcement of equality|absent||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates rulers and commoners|absent||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates elites and commoners|absent||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideology reinforces prosociality|present||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|production of public goods|present||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moral concern is primary|absent||||simple|uncertain|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moral concern is primary|present||||simple|uncertain|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is certain|absent||||simple|uncertain|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is certain|present||||simple|uncertain|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing norms are broad|present||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is targeted|absent||||simple|uncertain|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is targeted|present||||simple|uncertain|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement of rulers|present||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by elites|present||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by commoners|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in afterlife|absent||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in this life|present||||simple|simple|
Middle Yellow River Valley|CnErJin|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is agentic|present||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Deification of Rulers|Rulers are legitimated by gods|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Deification of Rulers|Rulers are gods|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological reinforcement of equality|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates rulers and commoners|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates elites and commoners|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideology reinforces prosociality|inferred present||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|production of public goods|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Moralizing Supernatural Powers|Moral concern is primary|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is certain|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing norms are broad|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is targeted|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement of rulers|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by elites|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by commoners|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in afterlife|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in this life|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlig|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is agentic|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlit|Institutional Variables|Limits on Power of the Chief Executive|Constraint on executive by government|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlit|Institutional Variables|Limits on Power of the Chief Executive|Constraint on executive by non-government|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlit|Institutional Variables|Limits on Power of the Chief Executive|Impeachment|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Deification of Rulers|Rulers are legitimated by gods|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Deification of Rulers|Rulers are gods|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological reinforcement of equality|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates rulers and commoners|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates elites and commoners|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideology reinforces prosociality|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|production of public goods|suspected unknown||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Moralizing Supernatural Powers|Moral concern is primary|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is certain|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing norms are broad|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is targeted|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement of rulers|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by elites|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing religion adopted by commoners|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in afterlife|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement in this life|inferred absent||||simple|simple|
Middle Yellow River Valley|CnErlit|Religion and Normative Ideology|Moralizing Supernatural Powers|Moralizing enforcement is agentic|inferred absent||||simple|simple|
Southern China Hills|CnHChin|Religion and Normative Ideology|Deification of Rulers|Rulers are legitimated by gods|absent||||simple|simple|
Southern China Hills|CnHChin|Religion and Normative Ideology|Deification of Rulers|Rulers are gods|absent||||simple|simple|
Southern China Hills|CnHChin|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological reinforcement of equality|present||||simple|simple|
Southern China Hills|CnHChin|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates rulers and commoners|suspected unknown||||simple|simple|
Southern China Hills|CnHChin|Religion and Normative Ideology|Normative Ideological Aspects of Equity and Prosociality|Ideological thought equates elites and commoners|present||||simple|simple|
